id,application_area,web_surface,meal_production_step,form_key,source_type,source_file,source_path,context,message_key,message_en,message_fr,message_nl,notes,duplicate_group,duplicate_count
UFM-0117,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemSubgroupRowsRenderer.tsx,line 181,JSX text,src/web/react/features/lineItems/components/LineItemSubgroupRowsRenderer.tsx:181:17,Manual,,,Extracted from web app UI code; review if this surface is still active.,,
UFM-0118,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemSubgroupRowsRenderer.tsx,line 372,missing system-string fallback,src/web/react/features/lineItems/components/LineItemSubgroupRowsRenderer.tsx:372:57,Yes,,,Extracted from web app UI code; review if this surface is still active.,D029,17
UFM-0119,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemSubgroupRowsRenderer.tsx,line 373,missing system-string fallback,src/web/react/features/lineItems/components/LineItemSubgroupRowsRenderer.tsx:373:56,No,,,Extracted from web app UI code; review if this surface is still active.,D030,16
UFM-0120,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemSubgroupRowsRenderer.tsx,line 808,JSX placeholder,src/web/react/features/lineItems/components/LineItemSubgroupRowsRenderer.tsx:808:35,Select…,,,Extracted from web app UI code; review if this surface is still active.,D021,2
UFM-0121,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemSubgroupRowsRenderer.tsx,line 968,missing system-string fallback,src/web/react/features/lineItems/components/LineItemSubgroupRowsRenderer.tsx:968:57,Back,,,Extracted from web app UI code; review if this surface is still active.,D023,12
UFM-0122,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemSubgroupTableRenderer.tsx,line 215,missing system-string fallback,src/web/react/features/lineItems/components/LineItemSubgroupTableRenderer.tsx:215:72,Yes,,,Extracted from web app UI code; review if this surface is still active.,D029,17
UFM-0123,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemSubgroupTableRenderer.tsx,line 215,missing system-string fallback,src/web/react/features/lineItems/components/LineItemSubgroupTableRenderer.tsx:215:112,No,,,Extracted from web app UI code; review if this surface is still active.,D030,16
UFM-0124,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemTableModeRenderer.tsx,line 448,missing system-string fallback,src/web/react/features/lineItems/components/LineItemTableModeRenderer.tsx:448:51,Yes,,,Extracted from web app UI code; review if this surface is still active.,D029,17
UFM-0125,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemTableModeRenderer.tsx,line 449,missing system-string fallback,src/web/react/features/lineItems/components/LineItemTableModeRenderer.tsx:449:50,No,,,Extracted from web app UI code; review if this surface is still active.,D030,16
UFM-0126,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemTableModeRenderer.tsx,line 820,missing system-string fallback,src/web/react/features/lineItems/components/LineItemTableModeRenderer.tsx:820:59,Warning,,,Extracted from web app UI code; review if this surface is still active.,D037,3
UFM-0127,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemTableTotalsFooter.tsx,line 23,missing system-string fallback,src/web/react/features/lineItems/components/LineItemTableTotalsFooter.tsx:23:118,Total,,,Extracted from web app UI code; review if this surface is still active.,D163,3
UFM-0128,all,form view,,,web app code,src/web/react/features/lineItems/components/SourceFirstDataSourceActions.tsx,line 209,missing system-string fallback,src/web/react/features/lineItems/components/SourceFirstDataSourceActions.tsx:209:51,Back,,,Extracted from web app UI code; review if this surface is still active.,D023,12
